clade	mut_type	logSize	min_ci	max_ci
19A	missense	0.16566797918516285	0.11207616393758445	0.23177539861680227
19A	nonsense	0.28266325373222234	0.14580165162110512	0.44798621704296
19A	synonymous	0.1545019994721367	0.0612277717642739	0.2691673525004109
19A	undoStop	0.4716226812931205		
19B	missense	0.2730202351854695	0.195020026232949	0.3609585700338778
19B	nonsense	0.1971730345302294	0.0752574989159953	0.32618822518741986
19B	synonymous	0.3015741793970375	0.13981540321389888	0.4884652535629586
20A	missense	0.2954523910190217	0.27568413400010755	0.3157253557833619
20A	nonsense	0.3607241772557581	0.2977992912582348	0.4284257136684837
20A	synonymous	0.2633356531261416	0.23156312916355265	0.29673486393210297
20A	undoStop	0.24482549279661708	0.1472694014174306	0.35543742734674094
20B	missense	0.2936608254978991	0.2731227359393387	0.3145578925689267
20B	nonsense	0.324870174194939	0.263517825068368	0.3895108095616242
20B	synonymous	0.30846029892441695	0.2695985778036346	0.3480917922646366
20B	undoStop	0.2603470251994281	0.12470518205942063	0.413851692188402
20C	missense	0.29942560559023906	0.26825627798205653	0.33210798916312684
20C	nonsense	0.35822284544081817	0.28063099052566276	0.4428898857193624
20C	synonymous	0.32106152990200215	0.2675055525259804	0.3781100711534861
20D	missense	0.27193477277202327	0.19854971715668582	0.3529689363133685
20D	nonsense	0.2808675395383188	0.08600857018970891	0.5049227530005719
20D	synonymous	0.46826166360146876	0.27219713478107643	0.6903700208188398
20D	undoStop	0.0		
20E (EU1)	missense	0.2656020226446814	0.23470390736753677	0.2975963018557726
20E (EU1)	nonsense	0.3161944718049164	0.2335664605876309	0.4060743758844519
20E (EU1)	synonymous	0.2872729039251783	0.23514061029277308	0.3465689278967782
20F	missense	0.2531335947800184	0.11550848205760883	0.4162148955298093
20F	synonymous	0.37756132247899854	0.1503855412266648	0.6616348692800851
20G	missense	0.24340964911337032	0.2233141286841203	0.26382051956788394
20G	nonsense	0.22630184437307835	0.15383014986846796	0.3067489085637979
20G	synonymous	0.3089877886041043	0.26583509258032856	0.35294274617744426
20H (Beta,V2)	missense	0.31129095222990366	0.2619001521010427	0.3633719901480054
20H (Beta,V2)	nonsense	0.2247140676259851	0.09030899869919437	0.3836844800480024
20H (Beta,V2)	synonymous	0.3310263202190857	0.19967414414898577	0.4789986623519373
20H (Beta,V2)	undoStop	0.0		
20I (Alpha,V1)	missense	0.3001628786660292	0.28881860970319434	0.31170446289240267
20I (Alpha,V1)	nonsense	0.36916640223948255	0.33747707390245396	0.4006125848624091
20I (Alpha,V1)	synonymous	0.2912275147929817	0.2691428328422825	0.31394841210364155
20I (Alpha,V1)	undoStop	0.19898195165148955	0.18739252870943107	0.21069949562223958
20J (Gamma,V3)	missense	0.1943653562860274	0.1660387737214646	0.2246079740633903
20J (Gamma,V3)	nonsense	0.1873766050628801	0.10153635114417589	0.2881423096500287
